1	#Google has done it again ..... #IceCream Sandwich
1	#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
1	Camera app now has Panorama capabilities! #Google #Android #ICS
0	#Google (and #Twitter ) get ready for the debut of #IceCreamSandwich http://t.co/T36KZ6gf
1	@apple your simply the best.
1	I am crazy about #iOS5 . The photo cropping is the best! @apple
0	If #Google don't fix pinch-zoom on #Android 2.3.6 soon, I might have to leave the fold and go #CyanogenMod
0	Hey #google ,when unveiling a new product,use a backdrop w/ lots of spatial-temporal high resolution activity. Video codecs will love it. ;)
0	New Galaxy Nexus: App Improvements -  New visual voicemail within the phone app #nexus #samsung #google #android bit.ly/nEJbyE
1	#android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wowww..  #google
0	Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store.
1	@science_alex hashtags are used here #twitter&gt;facebook
1	Better gallery app to be included with Android 4.0 as well. #Google #Android #ICS
1	On a positive note, advanced control of your data usage is a really great idea ;) #google #nexus
1	Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/qaMj3MeR #android #ICS #google #samsung
0	Lets not throw CJ under the bus yet.. Hes still a 100 million dollar #twitter guy!
1	Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
1	New iOS 5 update is THE BEST. iloveyou @apple
1	#Microsoft @ ISB... watching the new windows 8 in action...pretty impressive! Finally a contender to mac os.. Interesting battle in store
1	@bkad5161 than apologize to @apple ;)
0	@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!
1	one more picture of the services provided in the #cloud. I am in love with #Microsoft http://t.co/Q0QLeokZ
1	@RIM you made it too easy for me to switch to @Apple iPhone. See ya!
1	I &lt;3 @apple http://t.co/ondXWpEr
1	@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung
0	Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop
1	RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}
1	#google+ (: lovin it
1	@apple..good ipad
1	Blog Post: Cool Tool : Microsoft Mouse Without Borders. http://t.co/uM860jFh #Tools #Utilities #microsoft
1	When I'm about to tweet something and I cant remember how to spell I go straight to #Google
1	Interesting bookcase..RT @VentureBeat: #Google releases an Infinite Digital Bookcase http://t.co/urxJixCe by @MeghanKel
1	#Google's #IceCreamSandwich was revealed. I'm getting an #Android whenever I get a new phone, but I'm keeping my #iPhone for now.
1	#Android 4.0 Ice Cream: Introducing Galaxy Nexus. Simple, beautiful, beyond smart http://t.co/vUWgyx3N #Google
1	Well the event is now over, time to change my pants #Google #Android #Samsung #Jizz
1	RT @derryXOwners: I like #twitter
1	Absolutely loving the ARC mouse, courtesy of the one and only @gregulator0. #inspired #microsoft
1	Got this new #twitter app and a fresh ass theme with it! FWM
1	Zune Music arrives in Canada! http://t.co/CJJ12v4I #microsoft #music #news
1	twitter just helped me find the song from the end of a TV show i just watched. #Twitter &gt; ...
1	Is #Google Down? http://t.co/wFrzKYsN via @Ejunkie Good for #Bing, #Microsoft s investments paying off
0	#Mango shows #Microsoft still has the taste for smartphone success #Apple #Google http://t.co/C4fy2ffj
1	Will watch this one with interest! RT @RossMistry: #Microsoft Codename "Data Explorer" CTP Coming Next Month  http://t.co/vpQOyXWa
1	dammit, listening to siri is making me want to upgrade. well played @apple.
1	RT @Mrgareth: "Top Three 'playing nice' scores were #Google, #Salesforce and #Xero" in @itnews_au "Which #Clouds Play Nice" report: http ...
1	Take Off Make up 
 Say A Little More On #twitter 
 Go to Sleep &lt;3

like my plan?(;
1	RT @YashasJoshi: #android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wo ...
1	This is how charity works these days. http://t.co/839klkFH #billgates #philanthropy #microsoft
1	#twitter i love you!
1	The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace
1	Guess I'm addicted to #Twitter! Writing the answers to 15 marks University exam questions in less than 140 characters! :P
1	@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
0	Like to get my hands on an ice cream sandwich #android #google
1	/want http://t.co/srbm3V0K #Google #Nexus #Samsung #Galaxy
0	RT @leiboaz: Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store.
0	@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :)
1	wow - #Microsoft tech turns your body into a touchscreen http://t.co/5hVBC5Bm via @PSFK
1	But fb still sucks &amp; #twitter beats it anyday!
1	Not impressed much with the new Android update. But good signs: a readable font, emphasis on design, and less nerdiness. #google
1	RT @bestpantsTen: http://t.co/P4m8xvaz #iPads less desired than #Windows tablets, says study #Apple #Microsoft #MS
1	what i love about #GOOGLE it always shows me that am not the only retarded person on this planet when am searching for stupid things :D
1	#Microsoft store here I come to spend my hard earned cash. #vslive
